Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2024-06-30 12:06 (-05),On Demand,Charlotte Weidenbach,5,Cycling,Cool Down,5 min Cool Down Ride,2024-06-27 00:15 (-05),31,105,41%,75,26.10,2.17,43,106.88,,
2024-06-30 12:16 (-05),On Demand,Mila Lazar,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-06-27 00:15 (-05),,,,,,,15,,,
2024-07-01 04:56 (CDT),On Demand,Ben Alldis,10,Strength,Full Body,10 min Full Body Strength,2021-07-07 00:00 (CDT),,,,,,,59,,,
2024-07-01 05:08 (CDT),On Demand,Ben Alldis,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2023-02-27 08:30 (CDT),,,,,,,15,,,
2024-07-02 08:02 (-05),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2024-05-07 16:25 (-05),64,103,40%,75,25.33,4.32,83,,,
2024-07-02 08:14 (-05),On Demand,Leanne Hainsby-Alldis,20,Cycling,Music,20 min 90s Rock Ride,2024-06-10 01:00 (-05),78,124,42%,78,27.79,4.89,103,,,
2024-07-04 08:27 (PDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-01-25 01:12 (PDT),,,,,,,6,,,
2024-07-06 08:03 (PDT),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Upper Body Strength,2024-03-21 04:50 (PDT),,,,,,,46,,,
2024-07-06 08:13 (PDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-03-11 05:28 (PDT),,,,,,,29,,,
2024-07-07 14:25 (PDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-01-25 01:12 (PDT),,,,,,,15,,,
2024-07-07 14:31 (PDT),On Demand,Selena Samuela,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2024-01-10 23:00 (PDT),,,,,,,15,,,
2024-07-10 09:12 (PDT),On Demand,Susie Chan,10,Stretching,Post-Run Stretch,10 min AFO Post Run Stretch: Muse,2022-08-19 07:00 (PDT),,,,,,,29,,,
2024-07-13 14:25 (PDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2023-12-13 23:00 (PDT),,,,,,,15,,,
2024-07-14 18:43 (PDT),,,51,Walking,,51 min 7 sec Just Walk,,0,,,,0,0,240,,,
2024-07-14 19:51 (PDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-01-25 01:12 (PDT),,,,,,,15,,,
2024-07-16 15:41 (PDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 09:27 (PDT),,,,,,,46,,,
2024-07-16 15:51 (PDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2024-02-01 07:00 (PDT),,,,,,,30,,,
2024-07-16 16:06 (PDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-02-14 04:05 (PDT),,,,,,,29,,,
2024-07-18 17:08 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Mental Health Full Body Strength,2024-05-24 01:00 (CDT),,,,,,,118,,,
2024-07-18 17:32 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,46,,,
2024-07-18 17:44 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-11-23 07:25 (CDT),,,,,,,29,,,
2024-07-19 17:17 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Music,30 min 2010s Rock Ride,2024-07-15 23:55 (-05),319,177,48%,80,32.18,16.09,302,118.65,,
2024-07-19 17:48 (-05),On Demand,Irene Kaymer,5,Cycling,Cool Down,5 min Cool Down Ride,2024-05-27 10:00 (-05),21,71,36%,70,21.97,1.83,42,72.63,,
2024-07-19 17:56 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-05 01:00 (-05),,,,,,,14,,,
2024-07-20 16:50 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-11-07 06:24 (CDT),,,,,,,117,,,
2024-07-20 17:12 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,46,,,
2024-07-20 17:22 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min MOS Ibiza Chillout Full Body,2021-08-16 00:00 (CDT),,,,,,,30,,,
2024-07-21 12:30 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-06-02 23:55 (-05),0,0,0%,0,0,0,0,,,
2024-07-21 12:31 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-02-18 10:55 (-05),287,160,42%,90,31.05,15.52,296,121.70,,
2024-07-21 13:01 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2024-03-14 01:15 (-05),27,89,38%,74,24.21,2.01,35,,,
2024-07-21 13:09 (-05),On Demand,Mayla Wedekind,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-17 23:00 (-05),,,,,,,24,87.62,,
2024-07-24 04:57 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-09-26 06:24 (CDT),,,,,,,133,95.02,,
2024-07-24 05:20 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2021-04-28 00:00 (CDT),,,,,,,29,,,
2024-07-26 17:27 (CDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-01-25 03:12 (CDT),,,,,,,15,,,
2024-07-27 10:11 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,46,,,
2024-07-27 10:24 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2023-11-13 05:30 (CDT),,,,,,,130,94.42,,
2024-07-27 10:48 (CDT),On Demand,Mariana Fernandez,10,Yoga,Focus Flow,10 min Focus Flow: Core,2024-04-10 17:57 (CDT),,,,,,,62,98.00,,
2024-07-27 11:00 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-05-08 01:00 (CDT),,,,,,,30,74.03,,
2024-07-27 11:11 (CDT),On Demand,Anna Greenberg,5,Meditation,Mindfulness,5 min Body Scan Meditation,2024-07-09 11:29 (CDT),,,,,,,,,,
2024-07-29 11:26 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 90s Rock Ride,2024-07-23 12:25 (-05),267,148,44%,82,30.33,15.17,316,122.57,,
2024-07-29 11:57 (-05),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-12 10:00 (-05),20,68,33%,78,21.59,1.78,27,,,
2024-07-29 12:14 (CDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-23 23:00 (CDT),,,,,,,15,,,
2024-07-30 05:44 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min RUN DMC Full Body Strength,2023-12-14 05:25 (CDT),,,,,,,117,,,
2024-07-30 06:05 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-02-14 06:05 (CDT),,,,,,,29,,,
2024-08-01 18:00 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-06-02 23:55 (-05),0,0,0%,0,0,0,0,,,
2024-08-01 18:01 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-02-12 00:56 (-05),279,155,44%,85,30.63,15.31,292,118.38,,
2024-08-01 18:33 (-05),On Demand,Hannah Corbin,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-10 10:00 (-05),26,88,43%,63,24.05,2.01,35,,,
2024-08-01 18:40 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-23 23:00 (-05),,,,,,,15,,,
2024-08-03 12:44 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,46,60.38,,
2024-08-03 12:56 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2023-11-13 05:30 (CDT),,,,,,,128,92.18,,
2024-08-03 13:20 (CDT),On Demand,Kirra Michel,10,Yoga,Yoga Basics,10 min Basics: Triangle Pose,2023-03-29 09:00 (CDT),,,,,,,43,,,
2024-08-03 13:32 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-11-23 07:25 (CDT),,,,,,,31,70.76,,
2024-08-04 15:55 (-05),On Demand,Bradley Rose,30,Cycling,Intervals,30 min HIIT & Hills Ride,2024-06-15 05:55 (-05),281,156,46%,82,30.76,15.38,264,112.87,,
2024-08-04 16:25 (-05),On Demand,Benny Adami,5,Cycling,Cool Down,5 min Cool Down Ride,2024-05-16 00:15 (-05),28,98,39%,78,25.45,2.04,35,82.49,,
2024-08-04 16:35 (-05),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-12 01:00 (-05),,,,,,,14,,,
2024-08-05 11:55 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2024-04-24 05:30 (CDT),,,,,,,120,88.01,,
2024-08-05 12:20 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,,,
2024-08-05 12:31 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-02-14 06:05 (CDT),,,,,,,28,,,
2024-08-07 11:39 (CDT),On Demand,Anna Greenberg,5,Meditation,Relaxation,5 min Calming Meditation,2024-06-25 11:29 (CDT),,,,,,,,,,
2024-08-07 16:52 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2023-11-13 05:30 (CDT),,,,,,,113,,,
2024-08-07 17:16 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,,,
2024-08-07 17:26 (CDT),On Demand,Jermaine Johnson,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-07-02 01:00 (CDT),,,,,,,28,,,
2024-08-08 16:42 (-05),On Demand,Bradley Rose,30,Cycling,Music,30 min 80s Rock Ride,2024-07-19 11:54 (-05),282,156,46%,80,30.66,15.34,366,,,
2024-08-08 17:12 (-05),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2024-08-06 23:00 (-05),27,88,33%,94,24.78,2.07,35,,,
2024-08-08 17:19 (-05),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-06 23:00 (-05),,,,,,,14,,,
2024-08-11 14:09 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min The Stronger You,2024-07-15 05:25 (CDT),,,,,,,118,,,
2024-08-11 14:33 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,53,93.14,,
2024-08-11 14:45 (CDT),On Demand,Irene Kaymer,10,Stretching,Full Body Stretch,10 min Summer Break Full Body Stretch,2024-07-28 23:00 (CDT),,,,,,,28,,,
2024-08-11 16:14 (CDT),On Demand,Aditi Shah,20,Meditation,Sleep,20 min Sleep Meditation,2024-07-03 10:00 (CDT),,,,,,,,,,
2024-08-12 16:27 (-05),On Demand,Denis Morton,30,Cycling,Music,30 min 80s Ride,2024-08-10 14:26 (-05),261,145,43%,85,29.67,14.84,302,124.55,,
2024-08-12 16:58 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-03 01:00 (-05),22,72,31%,82,21.46,1.79,28,,,
2024-08-12 17:04 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,14,,,
2024-08-12 21:19 (CDT),On Demand,Kirra Michel,20,Meditation,Sleep,20 min Sleep Meditation,2024-04-02 10:00 (CDT),,,,,,,,,,
2024-08-13 20:10 (CDT),On Demand,Matty Maggiacomo,10,Stretching,Full Body Stretch,10 min Evening Stretch,2024-06-14 15:00 (CDT),,,,,,,28,,,
2024-08-14 05:00 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-14 17:03 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Ride,2024-06-30 23:55 (-05),306,170,47%,78,30.76,15.37,397,,,
2024-08-14 17:33 (-05),On Demand,Irene Kaymer,5,Cycling,Cool Down,5 min Cool Down Ride,2024-05-27 10:00 (-05),31,103,40%,75,25.72,2.15,40,,,
2024-08-14 17:40 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,14,,,
2024-08-14 17:54 (CDT),On Demand,Aditi Shah,5,Meditation,Mindfulness,5 min Body Scan Meditation,2024-07-30 23:00 (CDT),,,,,,,,,,
2024-08-14 21:00 (CDT),On Demand,Anna Greenberg,30,Meditation,Sleep,30 min Sleep Meditation,2024-08-13 23:00 (CDT),,,,,,,,,,
2024-08-15 05:29 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-15 16:49 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-09-26 06:24 (CDT),,,,,,,113,,,
2024-08-15 17:11 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,,,
2024-08-15 17:22 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min David Bowie Full Body Stretch,2022-01-19 06:51 (CDT),,,,,,,28,,,
2024-08-16 05:16 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-17 06:00 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-17 11:00 (-05),On Demand,Sam Yo,30,Cycling,Music,30 min 2000s Rock Ride,2024-08-12 06:55 (-05),334,186,50%,78,32.65,16.33,318,126.07,,
2024-08-17 11:32 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-17 03:00 (-05),31,102,42%,72,25.82,2.15,40,,,
2024-08-17 11:40 (-05),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-13 23:00 (-05),,,,,,,33,101.09,,
2024-08-17 14:17 (CDT),On Demand,Kristin McGee,15,Meditation,Sleep,15 min Sleep Meditation,2024-03-16 00:00 (CDT),,,,,,,,,,
2024-08-18 05:24 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-12 06:24 (CDT),,,,,,,,,,
2024-08-18 12:47 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-09-26 06:24 (CDT),,,,,,,138,101.91,,
2024-08-18 13:12 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,45,81.70,,
2024-08-18 13:22 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min MOS Ibiza Chillout Full Body,2021-08-16 00:00 (CDT),,,,,,,31,74.57,,
2024-08-18 21:28 (CDT),On Demand,Aditi Shah,20,Meditation,Sleep,20 min Sleep Meditation,2024-07-03 10:00 (CDT),,,,,,,,,,
2024-08-19 05:20 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-19 17:39 (-05),On Demand,Ben Alldis,30,Cycling,Music,30 min Imagine Dragons Ride,2024-08-16 13:25 (-05),334,185,50%,77,32.07,16.04,303,123.62,,
2024-08-19 18:10 (-05),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-25 23:00 (-05),25,83,41%,65,23.24,1.93,47,117.02,,
2024-08-19 18:17 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,14,,,
2024-08-19 20:21 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-05-06 01:00 (CDT),,,,,,,28,,,
2024-08-20 04:50 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-19 06:30 (CDT),,,,,,,,,,
2024-08-20 19:52 (CDT),On Demand,Ben Alldis,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-06-21 05:48 (CDT),,,,,,,14,,,
2024-08-20 19:58 (CDT),On Demand,Ben Alldis,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-01-25 06:05 (CDT),,,,,,,14,,,
2024-08-21 06:04 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-05 06:24 (CDT),,,,,,,,61.54,,
2024-08-21 11:31 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Full Body Strength,2023-11-13 05:30 (CDT),,,,,,,113,,,
2024-08-21 11:57 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,,,
2024-08-21 12:08 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min MOS Ibiza Chillout Full Body,2021-08-16 00:00 (CDT),,,,,,,28,,,
2024-08-22 05:27 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-22 17:09 (-05),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-06-29 14:25 (-05),274,152,46%,78,30.00,15.00,356,,,
2024-08-22 17:39 (-05),On Demand,Jenn Sherman,5,Cycling,Cool Down,5 min Cool Down Ride,2024-08-20 23:00 (-05),26,88,36%,79,24.03,2.01,34,,,
2024-08-22 17:47 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,14,,,
2024-08-22 21:05 (CDT),On Demand,Kirra Michel,20,Meditation,Sleep,20 min Sleep Meditation,2024-08-20 23:00 (CDT),,,,,,,,,,
2024-08-23 05:05 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-24 05:50 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-24 11:17 (-05),On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Warm Up Ride,2024-08-19 23:00 (-05),28,95,35%,88,25.01,2.08,37,,,
2024-08-24 11:25 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Music,30 min Pop Punk Ride,2024-08-20 00:00 (-05),340,189,48%,84,32.89,16.44,317,124.82,,
2024-08-24 11:57 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2024-08-21 23:00 (-05),27,91,39%,75,24.47,2.04,35,,,
2024-08-24 12:04 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,41,111.18,,
2024-08-24 13:46 (CDT),On Demand,Aditi Shah,20,Meditation,Sleep,20 min Sleep Meditation,2024-07-03 10:00 (CDT),,,,,,,,,,
2024-08-25 05:52 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-08-25 10:27 (CDT),On Demand,Rebecca Kennedy,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-08-07 06:27 (CDT),,,,,,,117,87.94,,
2024-08-25 10:51 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,76.69,,
2024-08-25 11:03 (CDT),On Demand,Anna Greenberg,5,Yoga,Yoga Anywhere,5 min Standing Yoga,2022-04-21 09:00 (CDT),,,,,,,22,,,
2024-08-25 11:10 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-03-11 07:28 (CDT),,,,,,,28,69.18,,
2024-08-26 05:26 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-22 06:24 (CDT),,,,,,,,,,
2024-08-26 10:38 (-05),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance Rock Ride,2022-05-03 13:00 (-05),0,0,0%,0,0,0,0,,,
2024-08-26 12:12 (-05),On Demand,Mayla Wedekind,5,Stretching,Pre & Post-Ride Stretch,5 min Pre-Ride Warm Up,2024-08-21 23:00 (-05),,,,,,,28,,,
2024-08-26 12:20 (-05),On Demand,Charlotte Weidenbach,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2023-11-21 01:00 (-05),306,170,44%,88,31.90,15.95,266,112.83,,
2024-08-26 12:51 (-05),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2024-05-22 01:00 (-05),35,116,39%,85,27.64,2.30,40,109.33,,
2024-08-26 12:59 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,19,84.68,,
2024-08-27 05:05 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-22 06:24 (CDT),,,,,,,,50.33,,
2024-08-28 05:20 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-22 06:24 (CDT),,,,,,,,,,
2024-08-28 16:15 (-05),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2024-08-27 16:30 (-05),284,158,48%,74,30.50,15.25,256,112.36,,
2024-08-28 16:46 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-03 01:00 (-05),23,77,30%,90,22.73,1.89,34,101.27,,
2024-08-28 16:53 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-08 23:00 (-05),,,,,,,17,82.05,,
2024-08-29 05:25 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-05 06:24 (CDT),,,,,,,,,,
2024-08-30 05:45 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-22 06:24 (CDT),,,,,,,,,,
2024-08-31 06:16 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-22 06:24 (CDT),,,,,,,,,,
2024-09-01 06:53 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-19 06:30 (CDT),,,,,,,,,,
2024-09-02 06:05 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-08-05 06:24 (CDT),,,,,,,,,,
2024-09-02 06:17 (CDT),On Demand,Aditi Shah,5,Meditation,Morning,5 min Morning Meditation,2024-04-22 06:30 (CDT),,,,,,,,,,
2024-09-02 11:10 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-05-06 01:00 (CDT),,,,,,,28,,,
2024-09-03 05:15 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-09-03 17:18 (-05),On Demand,Mayla Wedekind,30,Cycling,Low Impact,30 min Low Impact Ride,2024-08-10 05:55 (-05),208,116,40%,82,27.33,13.66,196,93.34,,
2024-09-03 17:50 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2024-08-21 23:00 (-05),26,88,38%,77,24.49,2.04,29,93.57,,
2024-09-03 17:57 (-05),On Demand,Benny Adami,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-08-21 23:00 (-05),,,,,,,14,,,
2024-09-04 05:39 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 06:25 (CDT),,,,,,,,,,
2024-09-04 17:15 (CDT),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Upper Body Strength,2024-03-21 06:50 (CDT),,,,,,,57,61.50,,
2024-09-04 17:34 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,62.94,,
2024-09-04 17:45 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-05-09 06:18 (CDT),,,,,,,29,63.89,,
2024-09-05 05:25 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-09-03 06:24 (CDT),,,,,,,,,,
2024-09-06 05:17 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-09-03 06:24 (CDT),,,,,,,,,,
2024-09-06 16:29 (-05),On Demand,Bradley Rose,30,Cycling,Low Impact,30 min Low Impact Ride,2024-08-15 23:00 (-05),186,103,37%,86,26.30,13.15,186,93.43,,
2024-09-06 17:01 (-05),On Demand,Camila Ramon,5,Cycling,Cool Down,5 min Cool Down Ride,2024-09-03 23:00 (-05),31,103,41%,74,25.54,2.13,42,100.72,,
2024-09-06 17:08 (-05),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-09-03 23:00 (-05),,,,,,,14,,,
2024-09-07 05:38 (CDT),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-09-03 06:24 (CDT),,,,,,,,,,
2024-09-07 12:28 (CDT),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Upper Body Strength,2024-03-21 06:50 (CDT),,,,,,,56,78.61,,
2024-09-07 12:41 (CDT),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Focus Flow: Balancing Poses,2024-04-10 11:27 (CDT),,,,,,,44,68.76,,
2024-09-07 12:54 (CDT),On Demand,Adrian Williams,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2024-06-21 01:00 (CDT),,,,,,,28,63.49,,
2024-09-07 13:04 (CDT),On Demand,Adrian Williams,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2024-07-10 01:00 (CDT),,,,,,,14,,,
