Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2023-08-16 22:07 (CDT),On Demand,Nico Sarani,10,Meditation,Sleep,10 min Sleep Meditation,2022-02-28 09:00 (CDT),,,,,,,,,,
2023-08-17 14:27 (CDT),On Demand,Kristin McGee,5,Yoga,Yoga Anywhere,5 min Chair Yoga,2020-01-24 10:18 (CDT),,,,,,,18,,,
2023-08-18 12:38 (-05),On Demand,Mila Lazar,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-17 03:00 (-05),29,96,34%,93,25.24,2.11,38,,,
2023-08-18 12:45 (-05),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2023-08-05 09:55 (-05),396,220,57%,73,34.91,17.45,425,146.34,,
2023-08-18 13:16 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-17 03:00 (-05),26,88,41%,69,23.93,2.00,55,128.82,,
2023-08-18 18:30 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-18 10:00 (-05),,,,,,,15,,,
2023-08-19 10:12 (CDT),On Demand,Jermaine Johnson,20,Strength,Full Body,20 min Full Body Strength,2023-08-08 05:30 (CDT),,,,,,,140,89.80,,
2023-08-19 10:36 (CDT),On Demand,Marcel Maurer,5,Strength,Core,5 min Core Strength,2023-08-08 11:00 (CDT),,,,,,,29,,,
2023-08-19 10:42 (CDT),On Demand,Andy Speer,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-01-18 09:00 (CDT),,,,,,,32,76.95,,
2023-08-20 13:45 (-05),On Demand,Sam Yo,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-26 00:54 (-05),508,188,49%,82,33.41,25.06,540,133.48,,
2023-08-20 14:30 (-05),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2023-07-14 01:00 (-05),32,105,41%,75,26.19,2.19,41,,,
2023-08-20 14:46 (CDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 09:00 (CDT),,,,,,,59,,,
2023-08-20 14:58 (-05),On Demand,Mila Lazar,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-17 03:00 (-05),,,,,,,15,,,
2023-08-21 05:19 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-11-07 06:24 (CDT),,,,,,,118,,,
2023-08-21 05:40 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 07:03 (CDT),,,,,,,29,,,
2023-08-21 21:31 (CDT),On Demand,Nico Sarani,10,Meditation,Sleep,10 min Sleep Meditation,2022-02-28 09:00 (CDT),,,,,,,,,,
2023-08-23 16:57 (-05),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Ride,2023-08-13 08:55 (-05),0,0,0%,0,0,0,0,,,
2023-08-23 16:58 (-05),On Demand,Jenn Sherman,30,Cycling,Music,30 min 90s Rock Ride,2023-08-22 08:55 (-05),311,173,49%,79,31.93,15.96,410,,,
2023-08-23 17:29 (-05),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-23 10:00 (-05),26,86,36%,81,24.32,2.03,34,,,
2023-08-23 17:36 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 03:00 (-05),,,,,,,15,,,
2023-08-25 12:04 (-05),On Demand,Mila Lazar,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-17 03:00 (-05),29,97,34%,91,24.97,2.08,38,105.39,,
2023-08-25 12:12 (-05),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2022-03-16 12:55 (-05),441,245,62%,69,36.55,18.28,431,147.51,,
2023-08-25 12:44 (-05),On Demand,Mila Lazar,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-17 03:00 (-05),30,99,42%,71,25.41,2.11,56,129.52,,
2023-08-25 12:56 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-06-01 10:00 (-05),,,,,,,15,,,
2023-08-26 16:32 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2022-08-29 06:25 (CDT),,,,,,,118,,,
2023-08-26 16:53 (CDT),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-25 01:00 (CDT),,,,,,,28,,,
2023-08-27 11:22 (-05),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2023-08-24 06:23 (-05),278,155,43%,89,30.93,15.47,366,,,
2023-08-27 11:54 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-21 10:00 (-05),25,82,34%,84,23.72,1.98,36,103.38,,
2023-08-27 12:00 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-25 01:00 (-05),,,,,,,26,90.43,,
2023-08-27 16:33 (CDT),On Demand,Kristin McGee,10,Yoga,Yoga Anywhere,10 min Chair Yoga,2022-01-06 09:00 (CDT),,,,,,,47,,,
2023-08-28 12:41 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Queen Full Body Strength,2021-12-09 02:26 (CDT),,,,,,,118,,,
2023-08-28 13:02 (CDT),On Demand,Matty Maggiacomo,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-17 01:00 (CDT),,,,,,,29,,,
2023-08-29 16:13 (-05),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2023-08-23 12:55 (-05),302,168,43%,89,31.28,15.64,322,128.75,,
2023-08-29 16:44 (-05),On Demand,Kendall Toole,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-02 10:00 (-05),39,129,46%,72,28.38,2.37,45,110.36,,
2023-08-29 16:51 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-25 01:00 (-05),,,,,,,15,,,
2023-09-01 05:44 (-05),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2023-08-30 03:00 (-05),332,184,48%,82,32.72,16.37,341,133.42,,
2023-09-01 06:15 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-08-30 10:00 (-05),30,101,38%,82,26.07,2.17,48,92.58,,
2023-09-01 06:23 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-18 10:00 (-05),,,,,,,33,103.19,,
2023-09-02 11:34 (CDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 09:00 (CDT),,,,,,,61,57.67,,
2023-09-02 11:55 (CDT),On Demand,Rebecca Kennedy,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-08-07 06:27 (CDT),,,,,,,119,,,
